TransactionID,Item,ItemCategory1,ItemCategory2
35,detergent,detergent,detergent/softener
36,pastry,fresh products,bread and backed goods
36,soda,drinks,non-alc. drinks
37,fruit/vegetable juice,drinks,non-alc. drinks
38,canned beer,drinks,beer
39,root vegetables,fruit and vegetables,vegetables
39,other vegetables,fruit and vegetables,vegetables
39,whole milk,fresh products,dairy produce
39,dessert,fresh products,dairy produce
40,citrus fruit,fruit and vegetables,fruit
40,zwieback,fresh products,bread and backed goods
40,newspapers,non-food,games/books/hobby
41,sausage,meat and sausage,sausage
41,rolls/buns,fresh products,bread and backed goods
41,soda,drinks,non-alc. drinks
41,canned beer,drinks,beer
41,specialty bar,snacks and candies,chocolate
41,shopping bags,non-food,bags
42,tropical fruit,fruit and vegetables,fruit
42,root vegetables,fruit and vegetables,vegetables
42,whole milk,fresh products,dairy produce
42,yogurt,fresh products,dairy produce
42,domestic eggs,fresh products,eggs
42,brown bread,fresh products,bread and backed goods
42,pastry,fresh products,bread and backed goods
42,sugar,processed food,sweetener
42,cereals,processed food,health food
42,coffee,drinks,coffee
42,soda,drinks,non-alc. drinks
42,waffles,snacks and candies,long-life bakery products
42,candy,snacks and candies,candy
43,berries,fruit and vegetables,fruit
43,yogurt,fresh products,dairy produce
44,canned beer,drinks,beer
45,butter milk,fresh products,dairy produce
45,yogurt,fresh products,dairy produce
45,cream cheese,fresh products,cheese
45,spread cheese,fresh products,cheese
45,rolls/buns,fresh products,bread and backed goods
45,bottled water,drinks,non-alc. drinks
45,soda,drinks,non-alc. drinks
45,newspapers,non-food,games/books/hobby
46,coffee,drinks,coffee
47,pastry,fresh products,bread and backed goods
47,bottled water,drinks,non-alc. drinks
48,rolls/buns,fresh products,bread and backed goods
49,misc. beverages,drinks,non-alc. drinks
50,root vegetables,fruit and vegetables,vegetables
50,other vegetables,fruit and vegetables,vegetables
50,butter,fresh products,dairy produce
50,curd,fresh products,dairy produce
50,whipped/sour cream,fresh products,dairy produce
50,UHT-milk,fresh products,shelf-stable dairy
50,hard cheese,fresh products,cheese
50,rolls/buns,fresh products,bread and backed goods
50,bottled water,drinks,non-alc. drinks
50,long life bakery product,snacks and candies,long-life bakery products
51,sausage,meat and sausage,sausage
51,rolls/buns,fresh products,bread and backed goods
51,cat food,canned food,pet food/care
51,newspapers,non-food,games/books/hobby
52,canned beer,drinks,beer
53,ham,meat and sausage,sausage
53,grapes,fruit and vegetables,fruit
53,other vegetables,fruit and vegetables,vegetables
53,whole milk,fresh products,dairy produce
54,turkey,meat and sausage,poultry
54,tropical fruit,fruit and vegetables,fruit
54,other vegetables,fruit and vegetables,vegetables
54,curd,fresh products,dairy produce
54,domestic eggs,fresh products,eggs
54,brown bread,fresh products,bread and backed goods
54,semi-finished bread,fresh products,bread and backed goods
54,margarine,processed food,vinegar/oils
54,baking powder,processed food,bakery improver
54,fruit/vegetable juice,drinks,non-alc. drinks
55,whole milk,fresh products,dairy produce
55,yogurt,fresh products,dairy produce
55,processed cheese,fresh products,cheese
55,pickled vegetables,canned food,canned fruit/vegetables
55,soda,drinks,non-alc. drinks
56,whole milk,fresh products,dairy produce
56,curd,fresh products,dairy produce
56,yogurt,fresh products,dairy produce
56,pastry,fresh products,bread and backed goods
57,packaged fruit/vegetables,fruit and vegetables,packaged fruit/vegetables
57,brown bread,fresh products,bread and backed goods
57,canned beer,drinks,beer
58,rolls/buns,fresh products,bread and backed goods
58,oil,processed food,vinegar/oils
58,bottled water,drinks,non-alc. drinks
58,chewing gum,snacks and candies,chewing gum
58,chocolate marshmallow,snacks and candies,chocolate
58,hygiene articles,perfumery,perfumery
58,napkins,perfumery,perfumery
59,ham,meat and sausage,sausage
59,beef,meat and sausage,beef
59,whipped/sour cream,fresh products,dairy produce
59,ice cream,fresh products,frozen foods
59,rolls/buns,fresh products,bread and backed goods
59,cat food,canned food,pet food/care
60,rolls/buns,fresh products,bread and backed goods
60,pastry,fresh products,bread and backed goods
60,sugar,processed food,sweetener
61,other vegetables,fruit and vegetables,vegetables
61,whole milk,fresh products,dairy produce
61,frozen vegetables,fresh products,frozen foods
61,canned fish,canned food,canned fish
61,salty snack,snacks and candies,snacks
61,seasonal products,snacks and candies,seasonal products
61,detergent,detergent,detergent/softener
62,sausage,meat and sausage,sausage
62,pastry,fresh products,bread and backed goods
63,sausage,meat and sausage,sausage
63,beef,meat and sausage,beef
63,whole milk,fresh products,dairy produce
64,frankfurter,meat and sausage,sausage
64,tropical fruit,fruit and vegetables,fruit
64,rolls/buns,fresh products,bread and backed goods
64,brown bread,fresh products,bread and backed goods
64,sugar,processed food,sweetener
65,rolls/buns,fresh products,bread and backed goods
65,pastry,fresh products,bread and backed goods
65,soda,drinks,non-alc. drinks
66,whole milk,fresh products,dairy produce
67,curd cheese,fresh products,cheese
67,coffee,drinks,coffee
68,red/blush wine,drinks,wine
68,newspapers,non-food,games/books/hobby
69,sausage,meat and sausage,sausage
69,whole milk,fresh products,dairy produce
69,curd,fresh products,dairy produce
70,tropical fruit,fruit and vegetables,fruit
70,pip fruit,fruit and vegetables,fruit
70,berries,fruit and vegetables,fruit
70,whole milk,fresh products,dairy produce
70,frozen potato products,fresh products,frozen foods
70,rolls/buns,fresh products,bread and backed goods
70,pickled vegetables,canned food,canned fruit/vegetables
70,chocolate,snacks and candies,chocolate
71,red/blush wine,drinks,wine
72,whole milk,fresh products,dairy produce
72,butter,fresh products,dairy produce
72,margarine,processed food,vinegar/oils
72,specialty fat,processed food,vinegar/oils
72,specialty chocolate,snacks and candies,chocolate
72,candles,non-food,non-food house keeping products
72,flower (seeds),non-food,garden
73,frankfurter,meat and sausage,sausage
73,citrus fruit,fruit and vegetables,fruit
73,whole milk,fresh products,dairy produce
73,domestic eggs,fresh products,eggs
73,oil,processed food,vinegar/oils
73,sparkling wine,drinks,wine
73,specialty chocolate,snacks and candies,chocolate
73,newspapers,non-food,games/books/hobby
74,whole milk,fresh products,dairy produce
74,meat spreads,canned food,meat spreads
74,soda,drinks,non-alc. drinks
75,frozen potato products,fresh products,frozen foods
76,other vegetables,fruit and vegetables,vegetables
76,whole milk,fresh products,dairy produce
76,rolls/buns,fresh products,bread and backed goods
76,sugar,processed food,sweetener
77,citrus fruit,fruit and vegetables,fruit
77,whole milk,fresh products,dairy produce
77,curd,fresh products,dairy produce
77,butter milk,fresh products,dairy produce
77,pastry,fresh products,bread and backed goods
78,flour,processed food,staple foods
78,salt,processed food,staple foods
78,bottled water,drinks,non-alc. drinks
78,fruit/vegetable juice,drinks,non-alc. drinks
78,bottled beer,drinks,beer
79,sugar,processed food,sweetener
79,bottled water,drinks,non-alc. drinks
79,soda,drinks,non-alc. drinks
79,bottled beer,drinks,beer
80,frozen meals,fresh products,frozen foods
80,coffee,drinks,coffee
81,chocolate,snacks and candies,chocolate
82,root vegetables,fruit and vegetables,vegetables
82,whole milk,fresh products,dairy produce
82,frozen vegetables,fresh products,frozen foods
82,domestic eggs,fresh products,eggs
82,rolls/buns,fresh products,bread and backed goods
82,oil,processed food,vinegar/oils
82,margarine,processed food,vinegar/oils
82,canned vegetables,canned food,canned fruit/vegetables
82,fruit/vegetable juice,drinks,non-alc. drinks
82,bathroom cleaner,detergent,bathroom cleaner
83,root vegetables,fruit and vegetables,vegetables
83,onions,fruit and vegetables,vegetables
83,hard cheese,fresh products,cheese
83,frozen vegetables,fresh products,frozen foods
84,herbs,fruit and vegetables,vegetables
84,condensed milk,fresh products,shelf-stable dairy
84,frozen vegetables,fresh products,frozen foods
84,salt,processed food,staple foods
84,oil,processed food,vinegar/oils
84,white wine,drinks,wine
84,candles,non-food,non-food house keeping products
85,bottled water,drinks,non-alc. drinks
86,sausage,meat and sausage,sausage
86,root vegetables,fruit and vegetables,vegetables
86,onions,fruit and vegetables,vegetables
86,yogurt,fresh products,dairy produce
86,rolls/buns,fresh products,bread and backed goods
86,brandy,drinks,hard drinks
86,detergent,detergent,detergent/softener
87,coffee,drinks,coffee
87,newspapers,non-food,games/books/hobby
88,pork,meat and sausage,pork
88,other vegetables,fruit and vegetables,vegetables
88,whipped/sour cream,fresh products,dairy produce
89,berries,fruit and vegetables,fruit
89,yogurt,fresh products,dairy produce
90,soda,drinks,non-alc. drinks
91,berries,fruit and vegetables,fruit
92,fruit/vegetable juice,drinks,non-alc. drinks
92,salty snack,snacks and candies,snacks
92,candles,non-food,non-food house keeping products
93,citrus fruit,fruit and vegetables,fruit
93,butter milk,fresh products,dairy produce
93,yogurt,fresh products,dairy produce
93,cream cheese,fresh products,cheese
94,pork,meat and sausage,pork
94,hamburger meat,meat and sausage,beef
94,citrus fruit,fruit and vegetables,fruit
94,berries,fruit and vegetables,fruit
94,onions,fruit and vegetables,vegetables
94,whipped/sour cream,fresh products,dairy produce
94,rice,processed food,staple foods
94,coffee,drinks,coffee
94,chocolate,snacks and candies,chocolate
95,detergent,detergent,detergent/softener
96,grapes,fruit and vegetables,fruit
96,photo/film,non-food,games/books/hobby
97,sausage,meat and sausage,sausage
97,sliced cheese,fresh products,cheese
97,rolls/buns,fresh products,bread and backed goods
97,brown bread,fresh products,bread and backed goods
97,fruit/vegetable juice,drinks,non-alc. drinks
97,canned beer,drinks,beer
97,red/blush wine,drinks,wine
97,waffles,snacks and candies,long-life bakery products
97,shopping bags,non-food,bags
98,chicken,meat and sausage,poultry
98,hamburger meat,meat and sausage,beef
98,citrus fruit,fruit and vegetables,fruit
98,tropical fruit,fruit and vegetables,fruit
98,root vegetables,fruit and vegetables,vegetables
98,other vegetables,fruit and vegetables,vegetables
98,butter,fresh products,dairy produce
98,pasta,processed food,staple foods
98,oil,processed food,vinegar/oils
98,detergent,detergent,detergent/softener
99,whole milk,fresh products,dairy produce
99,yogurt,fresh products,dairy produce
99,brown bread,fresh products,bread and backed goods
100,citrus fruit,fruit and vegetables,fruit
100,tropical fruit,fruit and vegetables,fruit
101,soda,drinks,non-alc. drinks
101,misc. beverages,drinks,non-alc. drinks
102,sausage,meat and sausage,sausage
102,pork,meat and sausage,pork
102,grapes,fruit and vegetables,fruit
102,whole milk,fresh products,dairy produce
102,rolls/buns,fresh products,bread and backed goods
102,pastry,fresh products,bread and backed goods
102,soda,drinks,non-alc. drinks
102,specialty bar,snacks and candies,chocolate
102,bathroom cleaner,detergent,bathroom cleaner
103,frankfurter,meat and sausage,sausage
103,rolls/buns,fresh products,bread and backed goods
103,bottled water,drinks,non-alc. drinks
104,sausage,meat and sausage,sausage
104,whole milk,fresh products,dairy produce
104,yogurt,fresh products,dairy produce
104,coffee,drinks,coffee
104,fruit/vegetable juice,drinks,non-alc. drinks
104,bottled beer,drinks,beer
104,softener,detergent,detergent/softener
104,napkins,perfumery,perfumery
104,photo/film,non-food,games/books/hobby
104,shopping bags,non-food,bags
105,soda,drinks,non-alc. drinks
106,rolls/buns,fresh products,bread and backed goods
106,fruit/vegetable juice,drinks,non-alc. drinks
107,beef,meat and sausage,beef
107,citrus fruit,fruit and vegetables,fruit
107,berries,fruit and vegetables,fruit
107,root vegetables,fruit and vegetables,vegetables
107,brown bread,fresh products,bread and backed goods
107,detergent,detergent,detergent/softener
108,whole milk,fresh products,dairy produce
108,whipped/sour cream,fresh products,dairy produce
108,rolls/buns,fresh products,bread and backed goods
108,soda,drinks,non-alc. drinks
108,waffles,snacks and candies,long-life bakery products
108,candy,snacks and candies,candy
108,cling film/bags,non-food,non-food kitchen
109,processed cheese,fresh products,cheese
110,tropical fruit,fruit and vegetables,fruit
110,pip fruit,fruit and vegetables,fruit
111,frankfurter,meat and sausage,sausage
111,sausage,meat and sausage,sausage
111,root vegetables,fruit and vegetables,vegetables
111,other vegetables,fruit and vegetables,vegetables
111,rolls/buns,fresh products,bread and backed goods
111,oil,processed food,vinegar/oils
111,pickled vegetables,canned food,canned fruit/vegetables
111,bottled beer,drinks,beer
111,chewing gum,snacks and candies,chewing gum
111,dishes,non-food,non-food kitchen
112,packaged fruit/vegetables,fruit and vegetables,packaged fruit/vegetables
112,bottled water,drinks,non-alc. drinks
113,whole milk,fresh products,dairy produce
113,dessert,fresh products,dairy produce
113,frozen vegetables,fresh products,frozen foods
113,rolls/buns,fresh products,bread and backed goods
113,margarine,processed food,vinegar/oils
113,bottled water,drinks,non-alc. drinks
113,red/blush wine,drinks,wine
113,newspapers,non-food,games/books/hobby
114,berries,fruit and vegetables,fruit
114,whipped/sour cream,fresh products,dairy produce
115,citrus fruit,fruit and vegetables,fruit
115,berries,fruit and vegetables,fruit
115,UHT-milk,fresh products,shelf-stable dairy
115,processed cheese,fresh products,cheese
116,tropical fruit,fruit and vegetables,fruit
116,whole milk,fresh products,dairy produce
116,yogurt,fresh products,dairy produce
117,hamburger meat,meat and sausage,beef
117,whole milk,fresh products,dairy produce
117,frozen vegetables,fresh products,frozen foods
117,rolls/buns,fresh products,bread and backed goods
117,bottled beer,drinks,beer
117,sparkling wine,drinks,wine
118,hamburger meat,meat and sausage,beef
118,other vegetables,fruit and vegetables,vegetables
118,whole milk,fresh products,dairy produce
118,frozen vegetables,fresh products,frozen foods
118,domestic eggs,fresh products,eggs
118,soda,drinks,non-alc. drinks
118,dishes,non-food,non-food kitchen
119,whole milk,fresh products,dairy produce
119,cream cheese,fresh products,cheese
119,soda,drinks,non-alc. drinks
120,fish,meat and sausage,fish
120,other vegetables,fruit and vegetables,vegetables
120,pastry,fresh products,bread and backed goods
120,margarine,processed food,vinegar/oils
120,coffee,drinks,coffee
120,long life bakery product,snacks and candies,long-life bakery products
120,male cosmetics,perfumery,cosmetics
120,shopping bags,non-food,bags
121,frankfurter,meat and sausage,sausage
121,sausage,meat and sausage,sausage
121,long life bakery product,snacks and candies,long-life bakery products
121,waffles,snacks and candies,long-life bakery products
122,packaged fruit/vegetables,fruit and vegetables,packaged fruit/vegetables
122,dessert,fresh products,dairy produce
122,semi-finished bread,fresh products,bread and backed goods
122,canned beer,drinks,beer
123,pastry,fresh products,bread and backed goods
123,soda,drinks,non-alc. drinks
124,other vegetables,fruit and vegetables,vegetables
124,red/blush wine,drinks,wine
125,misc. beverages,drinks,non-alc. drinks
126,frankfurter,meat and sausage,sausage
126,sausage,meat and sausage,sausage
126,citrus fruit,fruit and vegetables,fruit
126,tropical fruit,fruit and vegetables,fruit
126,pip fruit,fruit and vegetables,fruit
126,whole milk,fresh products,dairy produce
126,hard cheese,fresh products,cheese
126,cream cheese,fresh products,cheese
126,domestic eggs,fresh products,eggs
126,rice,processed food,staple foods
126,sugar,processed food,sweetener
126,canned fruit,canned food,canned fruit/vegetables
126,misc. beverages,drinks,non-alc. drinks
126,fruit/vegetable juice,drinks,non-alc. drinks
126,hygiene articles,perfumery,perfumery
127,sparkling wine,drinks,wine
128,specialty bar,snacks and candies,chocolate
129,sausage,meat and sausage,sausage
129,butter milk,fresh products,dairy produce
129,rolls/buns,fresh products,bread and backed goods
130,curd cheese,fresh products,cheese
131,frankfurter,meat and sausage,sausage
131,dessert,fresh products,dairy produce
132,whole milk,fresh products,dairy produce
132,yogurt,fresh products,dairy produce
132,beverages,fresh products,dairy produce
132,brown bread,fresh products,bread and backed goods
132,shopping bags,non-food,bags
133,newspapers,non-food,games/books/hobby
134,berries,fruit and vegetables,fruit
134,soda,drinks,non-alc. drinks
135,curd,fresh products,dairy produce
135,flour,processed food,staple foods
135,liquor (appetizer),drinks,hard drinks
136,tropical fruit,fruit and vegetables,fruit
136,other vegetables,fruit and vegetables,vegetables
136,coffee,drinks,coffee
137,soda,drinks,non-alc. drinks
138,rolls/buns,fresh products,bread and backed goods
138,Instant food products,processed food,soups/sauces
139,canned beer,drinks,beer
140,canned beer,drinks,beer
141,frankfurter,meat and sausage,sausage
141,sausage,meat and sausage,sausage
141,whole milk,fresh products,dairy produce
141,rolls/buns,fresh products,bread and backed goods
141,margarine,processed food,vinegar/oils
142,other vegetables,fruit and vegetables,vegetables
142,misc. beverages,drinks,non-alc. drinks
142,canned beer,drinks,beer
143,whole milk,fresh products,dairy produce
143,frozen vegetables,fresh products,frozen foods
144,whole milk,fresh products,dairy produce
145,citrus fruit,fruit and vegetables,fruit
145,butter,fresh products,dairy produce
145,cream cheese,fresh products,cheese
145,white bread,fresh products,bread and backed goods
145,oil,processed food,vinegar/oils
145,margarine,processed food,vinegar/oils
145,newspapers,non-food,games/books/hobby
146,frankfurter,meat and sausage,sausage
146,rolls/buns,fresh products,bread and backed goods
147,frankfurter,meat and sausage,sausage
147,ham,meat and sausage,sausage
147,pip fruit,fruit and vegetables,fruit
147,other vegetables,fruit and vegetables,vegetables
147,whole milk,fresh products,dairy produce
147,soft cheese,fresh products,cheese
147,frozen vegetables,fresh products,frozen foods
147,rolls/buns,fresh products,bread and backed goods
147,sugar,processed food,sweetener
147,baking powder,processed food,bakery improver
148,butter milk,fresh products,dairy produce
148,yogurt,fresh products,dairy produce
148,honey,processed food,sweetener
148,soda,drinks,non-alc. drinks
148,detergent,detergent,detergent/softener
149,hamburger meat,meat and sausage,beef
149,citrus fruit,fruit and vegetables,fruit
149,onions,fruit and vegetables,vegetables
149,rolls/buns,fresh products,bread and backed goods
149,bottled water,drinks,non-alc. drinks
149,dental care,perfumery,dental care
150,pasta,processed food,staple foods
150,popcorn,snacks and candies,snacks
151,other vegetables,fruit and vegetables,vegetables
151,whole milk,fresh products,dairy produce
151,meat spreads,canned food,meat spreads
151,cake bar,snacks and candies,long-life bakery products
151,chocolate,snacks and candies,chocolate
151,shopping bags,non-food,bags
152,sausage,meat and sausage,sausage
152,pork,meat and sausage,pork
152,citrus fruit,fruit and vegetables,fruit
152,dessert,fresh products,dairy produce
152,white bread,fresh products,bread and backed goods
152,dishes,non-food,non-food kitchen
152,candles,non-food,non-food house keeping products
153,rolls/buns,fresh products,bread and backed goods
154,grapes,fruit and vegetables,fruit
154,other vegetables,fruit and vegetables,vegetables
154,curd,fresh products,dairy produce
154,dessert,fresh products,dairy produce
154,yogurt,fresh products,dairy produce
154,napkins,perfumery,perfumery
155,root vegetables,fruit and vegetables,vegetables
155,other vegetables,fruit and vegetables,vegetables
155,whole milk,fresh products,dairy produce
155,yogurt,fresh products,dairy produce
155,beverages,fresh products,dairy produce
155,soft cheese,fresh products,cheese
155,frozen vegetables,fresh products,frozen foods
155,fruit/vegetable juice,drinks,non-alc. drinks
155,bottled beer,drinks,beer
156,coffee,drinks,coffee
156,shopping bags,non-food,bags
157,popcorn,snacks and candies,snacks
158,whole milk,fresh products,dairy produce
158,rolls/buns,fresh products,bread and backed goods
158,sugar,processed food,sweetener
158,bottled water,drinks,non-alc. drinks
158,soda,drinks,non-alc. drinks
159,tropical fruit,fruit and vegetables,fruit
159,other vegetables,fruit and vegetables,vegetables
159,packaged fruit/vegetables,fruit and vegetables,packaged fruit/vegetables
159,whole milk,fresh products,dairy produce
159,snack products,snacks and candies,snacks
160,beef,meat and sausage,beef
160,herbs,fruit and vegetables,vegetables
160,flour,processed food,staple foods
160,cling film/bags,non-food,non-food kitchen
160,flower soil/fertilizer,non-food,garden
161,whole milk,fresh products,dairy produce
161,butter,fresh products,dairy produce
161,dessert,fresh products,dairy produce
161,rolls/buns,fresh products,bread and backed goods
162,frankfurter,meat and sausage,sausage
162,soda,drinks,non-alc. drinks
162,chewing gum,snacks and candies,chewing gum
163,tropical fruit,fruit and vegetables,fruit
163,specialty cheese,fresh products,cheese
163,bottled water,drinks,non-alc. drinks
164,canned beer,drinks,beer
165,finished products,meat and sausage,sausage
165,other vegetables,fruit and vegetables,vegetables
165,frozen vegetables,fresh products,frozen foods
165,bottled beer,drinks,beer
166,beverages,fresh products,dairy produce
166,soda,drinks,non-alc. drinks
167,hamburger meat,meat and sausage,beef
167,root vegetables,fruit and vegetables,vegetables
167,whole milk,fresh products,dairy produce
168,whole milk,fresh products,dairy produce
168,pastry,fresh products,bread and backed goods
168,long life bakery product,snacks and candies,long-life bakery products
169,finished products,meat and sausage,sausage
169,white wine,drinks,wine
169,shopping bags,non-food,bags
170,other vegetables,fruit and vegetables,vegetables
171,ham,meat and sausage,sausage
171,tropical fruit,fruit and vegetables,fruit
171,other vegetables,fruit and vegetables,vegetables
171,whole milk,fresh products,dairy produce
171,white bread,fresh products,bread and backed goods
171,brown bread,fresh products,bread and backed goods
171,fruit/vegetable juice,drinks,non-alc. drinks
171,bottled beer,drinks,beer
172,other vegetables,fruit and vegetables,vegetables
173,curd,fresh products,dairy produce
173,butter milk,fresh products,dairy produce
173,cocoa drinks,drinks,tea/cocoa drinks
173,salty snack,snacks and candies,snacks
173,popcorn,snacks and candies,snacks
174,bottled beer,drinks,beer
175,curd,fresh products,dairy produce
175,dessert,fresh products,dairy produce
175,soda,drinks,non-alc. drinks
175,salty snack,snacks and candies,snacks
175,waffles,snacks and candies,long-life bakery products
175,cake bar,snacks and candies,long-life bakery products
175,chocolate,snacks and candies,chocolate
175,shopping bags,non-food,bags
176,whole milk,fresh products,dairy produce
176,cream cheese,fresh products,cheese
176,cereals,processed food,health food
176,dog food,canned food,pet food/care
177,whole milk,fresh products,dairy produce
177,salt,processed food,staple foods
178,dessert,fresh products,dairy produce
178,ice cream,fresh products,frozen foods
179,sausage,meat and sausage,sausage
179,soft cheese,fresh products,cheese
179,coffee,drinks,coffee
180,other vegetables,fruit and vegetables,vegetables
180,bottled water,drinks,non-alc. drinks
180,waffles,snacks and candies,long-life bakery products
180,dishes,non-food,non-food kitchen
180,shopping bags,non-food,bags
181,ham,meat and sausage,sausage
181,whole milk,fresh products,dairy produce
181,rolls/buns,fresh products,bread and backed goods
182,other vegetables,fruit and vegetables,vegetables
182,ice cream,fresh products,frozen foods
183,other vegetables,fruit and vegetables,vegetables
183,bottled water,drinks,non-alc. drinks
184,soda,drinks,non-alc. drinks
184,bottled beer,drinks,beer
184,white wine,drinks,wine
184,prosecco,drinks,wine
185,herbs,fruit and vegetables,vegetables
185,candy,snacks and candies,candy
186,frankfurter,meat and sausage,sausage
186,ham,meat and sausage,sausage
186,tropical fruit,fruit and vegetables,fruit
186,pip fruit,fruit and vegetables,fruit
186,root vegetables,fruit and vegetables,vegetables
186,other vegetables,fruit and vegetables,vegetables
186,whole milk,fresh products,dairy produce
186,butter,fresh products,dairy produce
186,curd,fresh products,dairy produce
186,yogurt,fresh products,dairy produce
186,whipped/sour cream,fresh products,dairy produce
186,soft cheese,fresh products,cheese
186,sliced cheese,fresh products,cheese
186,cream cheese,fresh products,cheese
186,frozen meals,fresh products,frozen foods
186,frozen fish,fresh products,frozen foods
186,domestic eggs,fresh products,eggs
186,white bread,fresh products,bread and backed goods
186,sugar,processed food,sweetener
186,cereals,processed food,health food
186,fruit/vegetable juice,drinks,non-alc. drinks
186,bottled beer,drinks,beer
186,waffles,snacks and candies,long-life bakery products
187,rolls/buns,fresh products,bread and backed goods
187,canned beer,drinks,beer
188,curd,fresh products,dairy produce
188,cream cheese,fresh products,cheese
188,semi-finished bread,fresh products,bread and backed goods
188,zwieback,fresh products,bread and backed goods
188,cake bar,snacks and candies,long-life bakery products
188,specialty bar,snacks and candies,chocolate
188,shopping bags,non-food,bags
189,frankfurter,meat and sausage,sausage
189,tropical fruit,fruit and vegetables,fruit
189,whole milk,fresh products,dairy produce
189,spread cheese,fresh products,cheese
189,margarine,processed food,vinegar/oils
189,shopping bags,non-food,bags
